"加班薪資率","人均加班工時"
0.9492225286204574,3.3882190240632934
25.311906236180665,3.662752935393984
41.72372280194737,5.519027588394126
59.21880305993115,7.8976169727573735
75.13263686446425,7.800688101554071
93.00928413444451,8.770706400915033
108.82084527248601,13.213018078542332
127.14395028709681,14.959173826477542
143.17047274879187,16.104008153752503
158.08799740938673,17.555682898802562
174.81635439475752,17.04988557906589
191.70619604542287,14.598550298182268
207.8726457887061,12.884811907818248
224.85764027474056,12.482267922987598
241.7972813155334,12.012239837191483
257.67722593474946,11.025296116916357
274.82109355391907,10.165576118902436
291.4102797655535,10.549045272794578
307.7571063930099,10.163565439331014
324.70689599790586,10.213591839964
341.7816905942238,9.601484983013243
357.6932441603427,9.108399581034991
374.5151566274833,8.73448047364621
391.4026991730421,9.345763716486182
408.220600681445,10.741289705642659
423.67728475952964,10.803759696260553
442.3291129321002,8.312835115032437
457.8035630999687,7.625625063898833
474.3976808224581,6.5154534017778785
492.0008666074625,8.00193368395279
